time,open,high,low,close,DEMA,DEMA,Volume,Volume MA
2021-08-19T20:55:00Z,1.16775,1.16778,1.1673,1.16743,1.1674621366850026,1.1676185470747107,412,233.35
2021-08-19T21:00:00Z,1.16743,1.16764,1.16734,1.16764,1.1674590500161475,1.1676222908731286,22,218.95
2021-08-19T21:05:00Z,1.16764,1.16765,1.16763,1.16763,1.1674557100346072,1.1676220766927923,14,208.25
2021-08-19T21:10:00Z,1.16763,1.16768,1.16763,1.16768,1.1674567395863886,1.1676387241690038,14,194.3
2021-08-19T21:15:00Z,1.16768,1.16768,1.16763,1.16763,1.1674541886427063,1.167634703911955,9,184.15
2021-08-19T21:20:00Z,1.16763,1.16774,1.16763,1.16764,1.167452873160064,1.1676351629494035,10,166.85
2021-08-19T21:25:00Z,1.16764,1.16772,1.16763,1.16771,1.167457329151427,1.1676587706373018,12,153.1
2021-08-19T21:30:00Z,1.16771,1.16775,1.16768,1.16774,1.1674641378860127,1.1676861850188767,94,140.35
2021-08-19T21:35:00Z,1.16774,1.16775,1.16768,1.16774,1.1674708473132314,1.1677063158026126,73,108.55
2021-08-19T21:40:00Z,1.16774,1.16774,1.16763,1.16774,1.1674774547509474,1.167720905308994,11,93.15
2021-08-19T21:45:00Z,1.16774,1.16775,1.16773,1.16775,1.1674847268151354,1.1677346088526381,22,90.15
2021-08-19T21:50:00Z,1.16775,1.16775,1.1677,1.16775,1.1674918476605236,1.1677442910974698,51,87.1
2021-08-19T21:55:00Z,1.16775,1.16775,1.16766,1.16773,1.1674972800938703,1.167744349754011,37,84.7
2021-08-19T22:00:00Z,1.16773,1.16778,1.1677,1.16772,1.1675018837663385,1.1677406088628026,139,86.95
2021-08-19T22:05:00Z,1.16772,1.16777,1.1677,1.16772,1.1675064688807293,1.1677374233451243,38,86.15
2021-08-19T22:10:00Z,1.16772,1.16777,1.1677,1.16772,1.1675110298127285,1.16773471491279,29,85.05
2021-08-19T22:15:00Z,1.16772,1.1678,1.1677,1.1678,1.1675217128878836,1.1677588616675814,84,81.55
2021-08-19T22:20:00Z,1.1678,1.16789,1.1677899999999999,1.16783,1.167534309278463,1.16778630332434,114,78.45
2021-08-19T22:25:00Z,1.16783,1.16794,1.16783,1.16788,1.1675502364974812,1.167822646802853,89,76.85
2021-08-19T22:30:00Z,1.16788,1.16788,1.16782,1.16783,1.1675616014751333,1.1678323429561435,16,64.5
2021-08-19T22:35:00Z,1.16783,1.16786,1.16778,1.16783,1.1675725053219008,1.1678387563164074,44,46.1
2021-08-19T22:40:00Z,1.16783,1.16785,1.16782,1.16783,1.1675829667270532,1.1678427600925707,159,52.95
2021-08-19T22:45:00Z,1.16783,1.16786,1.16783,1.16785,1.1675945414932443,1.167851630055372,9,52.7
2021-08-19T22:50:00Z,1.16785,1.16788,1.16777,1.16777,1.1675994676169086,1.1678310676319454,35,53.75
2021-08-19T22:55:00Z,1.16777,1.16778,1.16777,1.16777,1.1676042772103152,1.1678152839391742,16,54.1
2021-08-19T23:00:00Z,1.16777,1.16783,1.16768,1.16778,1.1676097407723793,1.1678065267914788,99,58.55
2021-08-19T23:05:00Z,1.16778,1.16782,1.16775,1.16778,1.167615046058587,1.1677997876499147,139,64.9
2021-08-19T23:10:00Z,1.16778,1.1678,1.16768,1.16774,1.1676171213403823,1.1677813990460606,129,66.65
2021-08-19T23:15:00Z,1.16774,1.16775,1.1676199999999999,1.16763,1.167610767732627,1.167731357119644,119,68.95
2021-08-19T23:20:00Z,1.16763,1.16768,1.1676,1.16763,1.1676049322527537,1.167694507330236,87,72.75
2021-08-19T23:25:00Z,1.16763,1.16774,1.16763,1.16769,1.1676041976444544,1.16768754152641,109,77.1
2021-08-19T23:30:00Z,1.16769,1.1677,1.16763,1.16763,1.1675990378654832,1.1676631250287608,73,78.2
2021-08-19T23:35:00Z,1.16763,1.1677,1.16763,1.16768,1.1675981671308535,1.167662213983929,41,78.4
2021-08-19T23:40:00Z,1.16768,1.16769,1.16757,1.16758,1.1675897998481277,1.1676291342271763,79,75.4
2021-08-19T23:45:00Z,1.16758,1.1676,1.16757,1.16759,1.167582829819209,1.1676086714403524,57,76.35
2021-08-19T23:50:00Z,1.16759,1.16765,1.1675,1.16765,1.1675810203771828,1.1676141906842026,167,83.25
2021-08-19T23:55:00Z,1.16765,1.16765,1.16763,1.16764,1.1675786872161626,1.167615763378542,17,79.9
2021-08-20T00:00:00Z,1.16764,1.168,1.16763,1.1679599999999999,1.1676012336719588,1.16772340250852,341,91.25
2021-08-20T00:05:00Z,1.1679599999999999,1.168,1.16792,1.16798,1.1676241360578408,1.1678098914299588,221,97.85
2021-08-20T00:10:00Z,1.16798,1.16803,1.16791,1.16799,1.1676465936065803,1.1678767181813368,192,106.65
2021-08-20T00:15:00Z,1.16799,1.16802,1.16786,1.168,1.1676686213651717,1.1679285040832894,224,115.65
2021-08-20T00:20:00Z,1.168,1.16822,1.16794,1.1682,1.1677048436500306,1.1680316498826695,229,119.15
2021-08-20T00:25:00Z,1.1682,1.16821,1.16801,1.16812,1.1677328906824587,1.1680798169092736,229,130.15
2021-08-20T00:30:00Z,1.16812,1.16827,1.16806,1.16814,1.1677609142742043,1.16812000088876,237,140.25
2021-08-20T00:35:00Z,1.16814,1.1682299999999999,1.16814,1.1682,1.167791979628562,1.1681673967464736,138,146.35
2021-08-20T00:40:00Z,1.1682,1.16825,1.16819,1.16825,1.167825128416451,1.1682167312711755,168,149.8
2021-08-20T00:45:00Z,1.16825,1.16838,1.16824,1.16837,1.1678656088955186,1.1682905260762675,237,154.7
2021-08-20T00:50:00Z,1.16837,1.16837,1.1682299999999999,1.16828,1.167896831961516,1.1683128010755022,256,161.05
2021-08-20T00:55:00Z,1.16828,1.16832,1.16818,1.16822,1.1679216298291109,1.1683067933948081,209,165.55
2021-08-20T01:00:00Z,1.16822,1.1682299999999999,1.16809,1.1682299999999999,1.1679457486913862,1.1683032083062503,235,172.95
2021-08-20T01:05:00Z,1.1682299999999999,1.1683999999999999,1.16819,1.16824,1.1679692190464641,1.1683016940467614,216,178.3
2021-08-20T01:10:00Z,1.16824,1.16832,1.16816,1.16816,1.167985149629454,1.1682721946153096,134,181.35
2021-08-20T01:15:00Z,1.16816,1.16842,1.16816,1.16834,1.1680139649817187,1.1683082422813524,230,190.8
2021-08-20T01:20:00Z,1.16834,1.16843,1.16829,1.16842,1.1680472175003118,1.16835986948651,292,201.45
