Date,Open,High,Low,Close,Volume
99,'2007-04-26 00:00',1.3639,1.3654,1.3584,1.3592,1224952.0
100,'2007-04-27 00:00',1.3593,1.3682,1.35865,1.3652,963257.0
101,'2007-04-29 00:00',1.36305,1.3648,1.3615,1.36235,41222.0
102,'2007-04-30 00:00',1.36235,1.36777,1.35884,1.36513,661518.0
103,'2007-05-01 00:00',1.36515,1.36711,1.35897,1.36021,663190.0
104,'2007-05-02 00:00',1.36026,1.36097,1.35598,1.35927,658266.0
105,'2007-05-03 00:00',1.3593,1.36193,1.35459,1.35508,667288.0
106,'2007-05-04 00:00',1.35512,1.36088,1.35344,1.35893,607590.0
107,'2007-05-06 00:00',1.36015,1.36023,1.35883,1.35917,56966.0
108,'2007-05-07 00:00',1.3592,1.36255,1.35897,1.35957,670412.0
109,'2007-05-08 00:00',1.35962,1.36202,1.35155,1.35377,673355.0
110,'2007-05-09 00:00',1.35379,1.35641,1.35187,1.35326,659615.0
111,'2007-05-10 00:00',1.35325,1.35624,1.34656,1.34757,674149.0
112,'2007-05-11 00:00',1.3476,1.35305,1.34628,1.35222,615659.0
113,'2007-05-13 00:00',1.35343,1.35433,1.35271,1.35397,56723.0
114,'2007-05-14 00:00',1.35395,1.3557,1.35235,1.35417,666252.0
115,'2007-05-15 00:00',1.3542,1.36071,1.35264,1.35896,667555.0
116,'2007-05-16 00:00',1.35901,1.36081,1.35035,1.35208,672164.0
117,'2007-05-17 00:00',1.3521,1.35421,1.34773,1.34937,665765.0
118,'2007-05-18 00:00',1.3494,1.35205,1.34648,1.35053,606693.0
119,'2007-05-20 00:00',1.35123,1.35288,1.35123,1.35195,58641.0
120,'2007-05-21 00:00',1.35195,1.35214,1.34359,1.3462,661493.0
121,'2007-05-22 00:00',1.34615,1.34744,1.34376,1.34487,663269.0
122,'2007-05-23 00:00',1.34487,1.35004,1.34149,1.34541,666984.0
123,'2007-05-24 00:00',1.34537,1.34602,1.34155,1.34221,670904.0
124,'2007-05-25 00:00',1.34215,1.34714,1.34114,1.3438,422350.0
125,'2007-05-27 00:00',1.34465,1.3451,1.34399,1.3446,237012.0
126,'2007-05-28 00:00',1.34456,1.34579,1.34425,1.34505,657418.0
127,'2007-05-29 00:00',1.34509,1.35183,1.34192,1.34507,663062.0
128,'2007-05-30 00:00',1.34511,1.34563,1.34079,1.3431,661363.0
129,'2007-05-31 00:00',1.3431,1.3471,1.34219,1.34523,661882.0
130,'2007-06-01 00:00',1.34526,1.34602,1.33915,1.34439,422815.0
131,'2007-06-03 00:00',1.3441,1.34448,1.34353,1.3442,236695.0
132,'2007-06-04 00:00',1.34422,1.34978,1.34317,1.34907,658167.0
133,'2007-06-05 00:00',1.34909,1.35515,1.34885,1.35157,662588.0
134,'2007-06-06 00:00',1.35162,1.35371,1.34844,1.34957,663033.0
135,'2007-06-07 00:00',1.34963,1.35113,1.34209,1.34247,659601.0
136,'2007-06-08 00:00',1.34251,1.34269,1.33225,1.33708,599578.0
137,'2007-06-10 00:00',1.33671,1.33711,1.33513,1.33559,56852.0
138,'2007-06-11 00:00',1.33557,1.33606,1.33325,1.3349,654360.0
139,'2007-06-12 00:00',1.33496,1.33683,1.32981,1.33,647328.0
140,'2007-06-13 00:00',1.32997,1.33144,1.32621,1.3307,647149.0
141,'2007-06-14 00:00',1.33067,1.33221,1.32789,1.3308,653285.0
142,'2007-06-15 00:00',1.33077,1.33877,1.33047,1.33867,409065.0
143,'2007-06-17 00:00',1.33765,1.33869,1.33737,1.33855,242697.0
144,'2007-06-18 00:00',1.3386,1.34178,1.33822,1.34147,642371.0
145,'2007-06-19 00:00',1.34156,1.34343,1.3384,1.34229,635180.0
146,'2007-06-20 00:00',1.34233,1.3436,1.339,1.33967,641082.0
147,'2007-06-21 00:00',1.33973,1.34044,1.33717,1.33888,638064.0
148,'2007-06-22 00:00',1.33889,1.34683,1.33772,1.34676,589357.0
149,'2007-06-24 00:00',1.34648,1.3469,1.34565,1.34616,52901.0
150,'2007-06-25 00:00',1.34617,1.34719,1.34384,1.34623,625874.0
151,'2007-06-26 00:00',1.34617,1.34764,1.3431,1.34491,629894.0
152,'2007-06-27 00:00',1.34484,1.34548,1.34167,1.3454,630977.0
153,'2007-06-28 00:00',1.34536,1.34788,1.34233,1.34363,630288.0
154,'2007-06-29 00:00',1.34359,1.35395,1.34284,1.35393,400958.0
155,'2007-07-01 00:00',1.35358,1.35465,1.35337,1.35343,241199.0
156,'2007-07-02 00:00',1.35344,1.36374,1.35258,1.36187,613152.0
157,'2007-07-03 00:00',1.36193,1.36323,1.35833,1.36054,605456.0
158,'2007-07-04 00:00',1.36061,1.36299,1.36044,1.36159,602493.0
159,'2007-07-05 00:00',1.36164,1.36574,1.35784,1.35922,616766.0
160,'2007-07-06 00:00',1.35931,1.36396,1.35678,1.36253,566422.0
161,'2007-07-08 00:00',1.36319,1.36337,1.36215,1.36237,45764.0
162,'2007-07-09 00:00',1.3624,1.36372,1.36086,1.36203,574558.0
163,'2007-07-10 00:00',1.36196,1.37822,1.35935,1.37429,595668.0
164,'2007-07-11 00:00',1.37419,1.37795,1.37299,1.37443,605069.0
165,'2007-07-12 00:00',1.37437,1.37971,1.37419,1.37823,595258.0
166,'2007-07-13 00:00',1.37817,1.38103,1.37621,1.37811,358656.0
167,'2007-07-15 00:00',1.37837,1.37855,1.37676,1.3775,237725.0
168,'2007-07-16 00:00',1.37749,1.38019,1.37603,1.37733,519815.0
169,'2007-07-17 00:00',1.37734,1.37974,1.3758,1.37935,539416.0
170,'2007-07-18 00:00',1.37932,1.3831,1.37565,1.38045,556338.0
171,'2007-07-19 00:00',1.38044,1.38284,1.37852,1.37968,553020.0
172,'2007-07-20 00:00',1.37955,1.38418,1.37777,1.38251,777461.0
173,'2007-07-22 00:00',1.38334,1.38438,1.38268,1.38364,240416.0
174,'2007-07-23 00:00',1.38357,1.38452,1.37912,1.37982,860850.0
175,'2007-07-24 00:00',1.37997,1.38515,1.37951,1.38195,862721.0
176,'2007-07-25 00:00',1.38179,1.38251,1.36944,1.37203,859965.0
177,'2007-07-26 00:00',1.372,1.37714,1.36888,1.37502,859196.0
178,'2007-07-27 00:00',1.37499,1.37521,1.36239,1.36306,829424.0
179,'2007-07-29 00:00',1.36206,1.36415,1.36058,1.36322,33557.0
180,'2007-07-30 00:00',1.36321,1.37274,1.36175,1.37197,861002.0
181,'2007-07-31 00:00',1.37197,1.3724,1.36636,1.36706,863041.0
182,'2007-08-01 00:00',1.3671,1.37099,1.36363,1.36642,858940.0
183,'2007-08-02 00:00',1.36625,1.37063,1.36478,1.37024,862289.0
184,'2007-08-03 00:00',1.37024,1.38178,1.36811,1.37698,828149.0
185,'2007-08-05 00:00',1.3786,1.38387,1.3786,1.38163,33188.0
186,'2007-08-06 00:00',1.38176,1.38386,1.37764,1.3808,861626.0
187,'2007-08-07 00:00',1.38098,1.38132,1.37314,1.37496,859633.0
188,'2007-08-08 00:00',1.37526,1.38259,1.37185,1.37993,861373.0
189,'2007-08-09 00:00',1.37984,1.38167,1.36533,1.36624,860382.0
190,'2007-08-10 00:00',1.36655,1.37049,1.36406,1.36907,781855.0
191,'2007-08-12 00:00',1.36887,1.36936,1.3678,1.36897,76151.0
192,'2007-08-13 00:00',1.36883,1.37091,1.35974,1.36069,859357.0
193,'2007-08-14 00:00',1.36062,1.3625,1.35238,1.35295,859365.0
194,'2007-08-15 00:00',1.353,1.35319,1.34127,1.34281,857539.0
195,'2007-08-16 00:00',1.34292,1.34464,1.33594,1.34285,857267.0
196,'2007-08-17 00:00',1.3425,1.3546,1.33691,1.34721,782475.0
197,'2007-08-19 00:00',1.3476,1.3489,1.34705,1.34705,77242.0
198,'2007-08-20 00:00',1.34734,1.35076,1.34573,1.3471,856484.0
199,'2007-08-21 00:00',1.3471,1.35203,1.34485,1.34658,855021.0
200,'2007-08-22 00:00',1.34635,1.35576,1.34459,1.35456,860210.0
201,'2007-08-23 00:00',1.35477,1.35879,1.35324,1.3561,861232.0
202,'2007-08-24 00:00',1.35613,1.36828,1.35497,1.36725,782117.0
203,'2007-08-26 00:00',1.36745,1.36814,1.36612,1.36777,76172.0
204,'2007-08-27 00:00',1.36777,1.36852,1.36303,1.36343,859811.0
205,'2007-08-28 00:00',1.3634,1.36799,1.35698,1.3574,854771.0
206,'2007-08-29 00:00',1.3576,1.36802,1.3557,1.36682,862073.0
207,'2007-08-30 00:00',1.36671,1.3672,1.35883,1.36674,861255.0
208,'2007-08-31 00:00',1.36669,1.37191,1.36158,1.36279,779424.0
